junction,model,rmse,mae,mape
1,SARIMA,74.74137684306207,69.36048748523551,94.64247506746263
1,XGBoost,4.360527515171907,3.164595365524292,4.508706624800403
1,LSTM,4.794836754448387,3.540351438434224,5.317386187545544
2,SARIMA,26.20251249423058,24.213198540255267,94.87809979019943
2,XGBoost,2.802907224635184,2.2303950786590576,10.039488582408872
2,LSTM,3.1880453204936905,2.49422422150133,11.458962176441299
3,SARIMA,23.084826216399417,19.174866844466784,96.48989354679564
3,XGBoost,8.602064958218472,3.403242588043213,17.235571993653608
3,LSTM,8.576662613377696,3.514709302405588,18.15734934332988
4,SARIMA,9.826513691400164,8.514689707288621,95.18600107136325
4,XGBoost,3.642711908987572,2.419964075088501,33.64490528125316
4,LSTM,3.4052802411455225,2.264262883100828,31.114750273416615
